accession	strain	virus	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url	genbank_accession_rev	updated	ambiguous_strain_names	notes
OL450364	ZIKV/Haiti/1238/2015	zika	2015-04-13	North America	Haiti	Haiti	Haiti	genbank	genome	Alam et al	https://www.ncbi.nlm.nih.gov/nuccore/OL450364	Analysis of Zika Virus Sequence Data Associated with a School Cohort in Haiti	"Am J Trop Med Hyg 107 (4), 873-880 (2022)"	https://www.ncbi.nlm.nih.gov/pubmed/36096408	OL450364.1	2022-12-05	"Haiti/1238/2015,ZIKV/Haiti/1238/2015"	
OL450366	ZIKV/Haiti/1332/2015	zika	2015-10-20	North America	Haiti	Haiti	Haiti	genbank	genome	Alam et al	https://www.ncbi.nlm.nih.gov/nuccore/OL450366	Analysis of Zika Virus Sequence Data Associated with a School Cohort in Haiti	"Am J Trop Med Hyg 107 (4), 873-880 (2022)"	https://www.ncbi.nlm.nih.gov/pubmed/36096408	OL450366.1	2022-12-05	"ZIKV/Haiti/1332/2015,Haiti/1332/2015"	
ON209935	SZ1901	zika	2019-12-XX	Asia	Cambodia	Cambodia	Cambodia	genbank	genome	Zhang et al	https://www.ncbi.nlm.nih.gov/nuccore/ON209935	Characterization and evolution analysis of newly isolated Zika virus from Cambodia in 2019	Unpublished		ON209935.1	2022-10-19		
OM964565	BK1463	zika	2019-10-03	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Khongwichit et al	https://www.ncbi.nlm.nih.gov/nuccore/OM964565	Direct Submission	Unpublished		OM964565.1	2022-09-20		
OM964566	BK2351	zika	2019-12-12	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Khongwichit et al	https://www.ncbi.nlm.nih.gov/nuccore/OM964566	Direct Submission	Unpublished		OM964566.1	2022-09-20		
OM964567	BK2504	zika	2019-12-24	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Khongwichit et al	https://www.ncbi.nlm.nih.gov/nuccore/OM964567	Direct Submission	Unpublished		OM964567.1	2022-09-20		
OM964568	BK2763	zika	2020-01-26	Southeast Asia	Thailand	Thailand	Thailand	genbank	genome	Khongwichit et al	https://www.ncbi.nlm.nih.gov/nuccore/OM964568	Direct Submission	Unpublished		OM964568.1	2022-09-20		
KU922960	MEX/InDRE/Sm/2016	zika	2016-02-25	North America	Mexico	Chiapas	Chiapas	genbank	genome	Diaz-Quinonez et al	https://www.ncbi.nlm.nih.gov/nuccore/KU922960	"Complete Genome Sequence of Zika Virus Isolated in Mexico, 2016"	"Genome Announc 4 (4), e00750-16 (2016)"	https://www.ncbi.nlm.nih.gov/pubmed/27491989	KU922960.1	2022-07-05		
ON586854	Ae_G6	zika	2016-10-22	North America	Mexico	Mexico	Mexico	genbank	genome	Gutierrez-Ortega et al	https://www.ncbi.nlm.nih.gov/nuccore/ON586854	Analysis of the complete genome sequences of Zika virus isolated from two mosquito species and a human serum in Mexico	Unpublished		ON586854.1	2022-06-21	"AeG6,Ae_G6"	
ON586852	Cx_G41	zika	2016-09-28	North America	Mexico	Mexico	Mexico	genbank	genome	Gutierrez-Ortega et al	https://www.ncbi.nlm.nih.gov/nuccore/ON586852	Analysis of the complete genome sequences of Zika virus isolated from two mosquito species and a human serum in Mexico	Unpublished		ON586852.1	2022-06-21	"CxG41,Cx_G41"	
